experiment_id,scenario,attacker,victim,attack_type,td,tm,tr,attack_duration,rule_lifetime,normal_windows,attack_windows,drop_rules,flow_removed,result
20260706_231035,syn_flood,h5,h1,SYN,7.0,12.0,14.0,102.0,104.2,10,30,1,1,SUCCESS
20260706_231639,syn_flood,h5,h1,SYN,5.0,10.0,13.0,101.0,104.2,9,30,1,1,SUCCESS
20260706_232232,syn_flood,h5,h1,SYN,8.0,13.0,13.0,101.0,101.7,10,28,1,1,SUCCESS
20260707_225249,icmp_flood,h7,h1,ICMP,3.0,8.0,14.0,108.0,114.7,11,31,1,1,SUCCESS
20260707_225841,icmp_flood,h7,h1,ICMP,3.0,8.0,14.0,95.0,101.2,8,28,1,1,SUCCESS
20260707_230411,icmp_flood,h7,h1,ICMP,1.0,6.0,13.0,103.0,110.2,8,29,1,1,SUCCESS
20260708_225311,udp_flood,h6,h1,UDP,5.0,10.0,13.0,96.0,98.8,10,27,1,1,SUCCESS
20260708_225745,udp_flood,h6,h1,UDP,5.0,10.0,14.0,104.0,108.2,9,29,1,1,SUCCESS
20260708_230256,udp_flood,h6,h1,UDP,5.0,10.0,14.0,94.0,98.2,8,27,1,1,SUCCESS
20260708_231006,coordinado,"h5,h6,h7",h1,COORDINADO,5.0,10.0,-4.0,116.0,106.7,8,31,3,3,SUCCESS
20260708_231618,coordinado,"h5,h6,h7",h1,COORDINADO,8.0,13.0,4.0,108.0,98.2,9,29,3,3,SUCCESS
20260708_232102,coordinado,"h5,h6,h7",h1,COORDINADO,6.0,11.0,5.0,106.0,98.7,8,29,3,3,SUCCESS
20260708_232834,normal,ninguno,h1,NORMAL,,,,,,13,0,0,0,SUCCESS
20260708_233101,normal,ninguno,h1,NORMAL,,,,,,11,0,0,0,SUCCESS
20260708_233311,normal,ninguno,h1,NORMAL,,,,,,10,0,0,0,SUCCESS
